win,diffr,diffc
0,.01,-74.78667
1,-.01,74.78667
0,.145,-409.0309
1,-.145,409.0309
0,-.015,-507.762
1,.015,507.762
0,0,-598.4758
1,0,598.4758
0,-.043,-589.9253
1,.043,589.9253
0,.01,-325.1483
1,-.01,325.1483
0,0,-287.3382
1,0,287.3382
0,-.025,-462.4964
1,.025,462.4964
0,-.03,-273.0199
1,.03,273.0199
0,-.05,-326.6996
1,.05,326.6996
0,-.01,-865.9507
1,.01,865.9507
0,-.0125,-83.9957
1,.0125,83.9957
0,-.0125,-168.6819
1,.0125,168.6819
0,.05,-128.4022
1,-.05,128.4022
0,-.0125,-37.94958
1,.0125,37.94958
0,-.046,-1250.917
1,.046,1250.917
0,.0075,-298.7334
1,-.0075,298.7334
0,-.0075,-36.38663
1,.0075,36.38663
0,-.0033,-74.05734
1,.0033,74.05734
0,-.046,-1250.917
1,.046,1250.917
0,0,57.21753
1,0,-57.21753
0,-.007,-317.6342
1,.007,317.6342
0,.025,-263.2012
1,-.025,263.2012
0,-.0333,-246.0357
1,.0333,246.0357
0,.02,-185.0036
1,-.02,185.0036
0,.0125,-281.5107
1,-.0125,281.5107
0,0,-400.3073
1,0,400.3073
0,-.05,-1740.565
1,.05,1740.565
0,-.0833,-449.6109
1,.0833,449.6109
0,-.035,-74.47052
1,.035,74.47052
0,-.045,-292.1535
1,.045,292.1535
0,.14,-9122.611
1,-.14,9122.611
0,.09,-10223.42
1,-.09,10223.42
0,0,-178.0419
1,0,178.0419
0,-.04,-876.0786
1,.04,876.0786
0,-.02,28.52795
1,.02,-28.52795
0,-.003,-115.4865
1,.003,115.4865
0,.01,-531.9
1,-.01,531.9
0,-.01,-171.4412
1,.01,171.4412
0,.01,-679.4805
1,-.01,679.4805
0,0,-273.7078
1,0,273.7078
0,.02,-179.493
1,-.02,179.493
0,-.0125,-116.3961
1,.0125,116.3961
0,-.03,-987.4896
1,.03,987.4896
0,-.02,-555.6975
1,.02,555.6975
0,-.01,-1490.141
1,.01,1490.141
0,-.01,-69.85126
1,.01,69.85126
0,-.0256,-810.0043
1,.0256,810.0043
0,-.055,-316.8967
1,.055,316.8967
0,-.04,127.4774
1,.04,-127.4774
0,-.04,-133.8246
1,.04,133.8246
0,.0333,-275.2964
1,-.0333,275.2964
0,-.075,-553.9724
1,.075,553.9724
0,-.025,-38.58813
1,.025,38.58813
0,-.025,350.8011
1,.025,-350.8011
0,-.015,-205.9052
1,.015,205.9052
0,.04,-353.356
1,-.04,353.356
0,.01,-2657.586
1,-.01,2657.586
0,-.04,-545.7248
1,.04,545.7248
0,.03,-152.9428
1,-.03,152.9428
0,0,-23.29776
1,0,23.29776
0,.06,-1044.778
1,-.06,1044.778
0,0,-12.7356
1,0,12.7356
0,.06,-1044.777
1,-.06,1044.777
0,-.01,159.5947
1,.01,-159.5947
0,-.03,-408.3902
1,.03,408.3902
0,-.0633,-680.6499
1,.0633,680.6499
0,-.0425,158.3498
1,.0425,-158.3498
0,-.03,-534.9368
1,.03,534.9368
0,-.03,-377.6403
1,.03,377.6403
0,.045,-232.4893
1,-.045,232.4893
0,-.0625,-726.2968
1,.0625,726.2968
0,-.04,-214.1219
1,.04,214.1219
0,.0625,-92.55945
1,-.0625,92.55945
0,-.0416667,-55.13866
1,.0416667,55.13866
0,-.0416667,-36.64861
1,.0416667,36.64861
0,-.0417,-55.13866
1,.0417,55.13866
0,.0125,-155.5352
1,-.0125,155.5352
0,-.11,538.0421
1,.11,-538.0421
0,0,-2554.438
1,0,2554.438
0,0,-2378.408
1,0,2378.408
0,.05,-2115.279
1,-.05,2115.279
0,.1,-1326.585
1,-.1,1326.585
0,-.15,-3569.641
1,.15,3569.641
0,-.05,-2278.217
1,.05,2278.217
0,-.09,-3734.815
1,.09,3734.815
0,-.05,118.4492
1,.05,-118.4492
0,-.15,-3787.88
1,.15,3787.88
0,-.1,-2350.542
1,.1,2350.542
0,.025,65.42502
1,-.025,-65.42502
0,.025,-51.55032
1,-.025,51.55032
0,.0125,-157.2508
1,-.0125,157.2508
0,.025,-51.55032
1,-.025,51.55032
0,.0125,164.5648
1,-.0125,-164.5648
0,.025,269.74
1,-.025,-269.74
0,-.0833,-767.9692
1,.0833,767.9692
0,-.05,880.4646
1,.05,-880.4646
0,.05,179.8514
1,-.05,-179.8514
0,0,-7.487701
1,0,7.487701
0,.01,-135.2888
1,-.01,135.2888
0,.05,-768.6566
1,-.05,768.6566
0,-.0525,-129.5912
1,.0525,129.5912
0,-.03,-736.665
1,.03,736.665
0,-.03,-904.2545
1,.03,904.2545
0,-.005,-282.4825
1,.005,282.4825
0,.025,-347.8539
1,-.025,347.8539
0,.03,-157.124
1,-.03,157.124
0,-.0025,-540.8271
1,.0025,540.8271
0,-.04,-627.3594
1,.04,627.3594
0,.005,-29.52469
1,-.005,29.52469
0,.045,-221.3939
1,-.045,221.3939
0,-.03,-768.6803
1,.03,768.6803
0,.06,-81.66628
1,-.06,81.66628
0,.0125,-112.4965
1,-.0125,112.4965
0,-.02,-131.3762
1,.02,131.3762
0,-.0333333,-10.59335
1,.0333333,10.59335
0,-.0208333,-664.0017
1,.0208333,664.0017
0,-.005,-250.5
1,.005,250.5
0,-.035,-1234.86
1,.035,1234.86
0,-.01,282.7519
1,.01,-282.7519
0,-.0065,-256.1469
1,.0065,256.1469
0,-.0065,-132.8313
1,.0065,132.8313
0,.05,-44.97021
1,-.05,44.97021
0,-.0125,-96.07275
1,.0125,96.07275
0,-.2375,87.31428
1,.2375,-87.31428
0,-.025,1.361267
1,.025,-1.361267
0,-.08,-1788.171
1,.08,1788.171
0,.0051,-161.9764
1,-.0051,161.9764
0,-.0463,-943.2936
1,.0463,943.2936
0,-.0475,-624.5514
1,.0475,624.5514
0,-.0049,-501.2068
1,.0049,501.2068
0,-.0725,-965.631
1,.0725,965.631
0,0,-528.8792
1,0,528.8792
0,.02,-351.7559
1,-.02,351.7559
0,-.04,262.7877
1,.04,-262.7877
0,-.03,133.0728
1,.03,-133.0728
0,-.09,-339.3318
1,.09,339.3318
0,0,-474.285
1,0,474.285
0,-.04,-228.0665
1,.04,228.0665
0,-.0427,-319.8823
1,.0427,319.8823
0,-.015,-616.9133
1,.015,616.9133
0,-.04,-23.66241
1,.04,23.66241
0,-.0261,-503.2113
1,.0261,503.2113
0,-.0011,-5.652588
1,.0011,5.652588
0,.0089,-167.2408
1,-.0089,167.2408
0,.04,-365.5533
1,-.04,365.5533
0,.04,-230.1631
1,-.04,230.1631
0,.04,-595.7166
1,-.04,595.7166
0,.005,-308.0126
1,-.005,308.0126
0,.025,-209.8546
1,-.025,209.8546
0,0,-5.104126
1,0,5.104126
0,-.04,-252.438
1,.04,252.438
0,-.025,-2655.647
1,.025,2655.647
0,-.0378,-81.39941
1,.0378,81.39941
0,0,-333.741
1,0,333.741
0,0,-124.1312
1,0,124.1312
0,-.0125,-100.5655
1,.0125,100.5655
0,-.0235,-617.1368
1,.0235,617.1368
0,.0883,-673.3514
1,-.0883,673.3514
0,-.0833,6.733536
1,.0833,-6.733536
0,-.013,-7.753052
1,.013,7.753052
0,0,-591.5052
1,0,591.5052
0,-.0625,-21.05357
1,.0625,21.05357
0,.02,-333.7221
1,-.02,333.7221
0,.02,-333.7221
1,-.02,333.7221
0,-.025,-435.7774
1,.025,435.7774
0,-.02,-106.034
1,.02,106.034
0,.023,-269.0569
1,-.023,269.0569
0,.048,-514.8621
1,-.048,514.8621
0,-.0025,-624.4778
1,.0025,624.4778
0,.02,-107.1147
1,-.02,107.1147
0,-.03,-426.0037
1,.03,426.0037
0,-.0360333,-188.5018
1,.0360333,188.5018
0,-.0152,-221.8531
1,.0152,221.8531
0,-.05,-4.172058
1,.05,4.172058
0,-.0625,74.50107
1,.0625,-74.50107
0,-.05,8.277893
1,.05,-8.277893
0,.02,-70.1416
1,-.02,70.1416
0,.04,-143.5887
1,-.04,143.5887
0,-.03,-409.9865
1,.03,409.9865
0,.05,-92.97784
1,-.05,92.97784
0,-.005,-236.8737
1,.005,236.8737
0,.05,-88.25565
1,-.05,88.25565
0,-.0333333,-370.8364
1,.0333333,370.8364
0,0,-48.61515
1,0,48.61515
0,-.025,-14.50215
1,.025,14.50215
0,-.01,-26.53497
1,.01,26.53497
0,-.03,-771.7336
1,.03,771.7336
0,-.03,-399.1791
1,.03,399.1791
0,-.01875,0
1,.01875,0
0,-.012,457.4658
1,.012,-457.4658
0,.05,-180.5838
1,-.05,180.5838
0,-.0333333,-157.0539
1,.0333333,157.0539
0,.006,-403.894
1,-.006,403.894
0,.01,-337.9396
1,-.01,337.9396
0,-.01,-122.3331
1,.01,122.3331
0,0,-1618.113
1,0,1618.113
0,-.01,-1746.79
1,.01,1746.79
0,-.065,-123.4799
1,.065,123.4799
0,-.0775,-82.7316
1,.0775,82.7316
0,-.02,57.95166
1,.02,-57.95166
0,-.01,0
1,.01,0
0,.05,-913.0688
1,-.05,913.0688
0,0,-942.6841
1,0,942.6841
0,0,-97.61023
1,0,97.61023
0,0,-97.61011
1,0,97.61011
0,.0074,-857.2362
1,-.0074,857.2362
0,0,-71.61005
1,0,71.61005
0,0,-349.4067
1,0,349.4067
0,-.03,-22.12714
1,.03,22.12714
0,-.01,-36.8786
1,.01,36.8786
0,.01,-190.2934
1,-.01,190.2934
0,-.04,-54.00824
1,.04,54.00824
0,-.0033333,-75.49535
1,.0033333,75.49535
0,-.05,-145.1833
1,.05,145.1833
0,-.018,-265.8264
1,.018,265.8264
0,-.02,-407.3238
1,.02,407.3238
0,0,-66.4006
1,0,66.4006
0,-.025,-500.1675
1,.025,500.1675
0,.015,-168.0826
1,-.015,168.0826
0,.01,-239.1563
1,-.01,239.1563
0,0,-359.9969
1,0,359.9969
0,.015,-221.1953
1,-.015,221.1953
0,.0125,-56.10065
1,-.0125,56.10065
0,.0125,-56.10065
1,-.0125,56.10065
0,0,-133.239
1,0,133.239
0,.0125,-56.10065
1,-.0125,56.10065
0,.02,-283.0562
1,-.02,283.0562
0,-.0724,-898.4653
1,.0724,898.4653
0,-.029,-562.694
1,.029,562.694
0,0,-140.6733
1,0,140.6733
0,-.03,-386.8155
1,.03,386.8155
0,-.005,-198.0472
1,.005,198.0472
0,.012,-92.6347
1,-.012,92.6347
0,.025,-97.63193
1,-.025,97.63193
0,0,-40.27087
1,0,40.27087
0,-.0205,-758.8074
1,.0205,758.8074
0,0,-62.05957
1,0,62.05957
0,.0383333,-551.5264
1,-.0383333,551.5264
0,-.0833333,134.0158
1,.0833333,-134.0158
0,-.045,-389.1611
1,.045,389.1611
0,-.02,-172.6741
1,.02,172.6741
0,-.0583333,25.77225
1,.0583333,-25.77225
0,.0383333,-221.6427
1,-.0383333,221.6427
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-226.7959
1,-.0383333,226.7959
0,-.0833333,136.5929
1,.0833333,-136.5929
0,-.045,-389.1612
1,.045,389.1612
0,.0383333,-556.6808
1,-.0383333,556.6808
0,.0383333,-551.5264
1,-.0383333,551.5264
0,.0383333,-566.8356
1,-.0383333,566.8356
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-162.3652
1,-.0383333,162.3652
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-561.8353
1,-.0383333,561.8353
0,.0383333,-226.7959
1,-.0383333,226.7959
0,.0383333,-162.3652
1,-.0383333,162.3652
0,0,-1475.319
1,0,1475.319
0,0,-494.3345
1,0,494.3345
0,0,-494.3345
1,0,494.3345
0,0,-1085.999
1,0,1085.999
0,0,-2874.615
1,0,2874.615
0,-.045,-140.6292
1,.045,140.6292
0,-.0833334,-393.9653
1,.0833334,393.9653
0,-.05,-635.4219
1,.05,635.4219
0,-.04,-174.2403
1,.04,174.2403
0,0,-2821.07
1,0,2821.07
0,0,-53.33881
1,0,53.33881
0,.005,-246.2404
1,-.005,246.2404
0,-.02,-91.50928
1,.02,91.50928
0,.01,-309.513
1,-.01,309.513
0,-.04,-63.26331
1,.04,63.26331
0,0,-519.3979
1,0,519.3979
0,0,-519.3979
1,0,519.3979
0,0,-278.7013
1,0,278.7013
0,0,-519.398
1,0,519.398
0,0,-519.398
1,0,519.398
0,-.007,-38.00473
1,.007,38.00473
0,-.01,-144.4179
1,.01,144.4179
0,-.007,-38.0047
1,.007,38.0047
0,-.01,-144.4179
1,.01,144.4179
0,-.007,-38.0047
1,.007,38.0047
0,0,-253.0875
1,0,253.0875
0,.014,-1159.077
1,-.014,1159.077
0,-.001,-907.1039
1,.001,907.1039
0,.014,-1814.208
1,-.014,1814.208
0,-.001,-743.3213
1,.001,743.3213
0,-.001,-1562.235
1,.001,1562.235
0,.014,-1159.077
1,-.014,1159.077
0,-.001,-1019.106
1,.001,1019.106
0,-.001,-907.1039
1,.001,907.1039
0,-.02,-292.2891
1,.02,292.2891
0,-.02,-456.0717
1,.02,456.0717
0,.025,-193.31
1,-.025,193.31
0,0,-128.6211
1,0,128.6211
0,0,-312.7259
1,0,312.7259
0,0,-312.7259
1,0,312.7259
0,-.025,-132.4042
1,.025,132.4042
0,-.025,-451.3835
1,.025,451.3835
0,-.025,-132.4042
1,.025,132.4042
0,0,-126.0992
1,0,126.0992
0,-.025,-69.35455
1,.025,69.35455
0,0,-126.0992
1,0,126.0992
0,-.025,-69.35455
1,.025,69.35455
0,0,-126.0992
1,0,126.0992
0,-.025,-308.5645
1,.025,308.5645
0,0,-310.2039
1,0,310.2039
0,.005,-247.1544
1,-.005,247.1544
0,0,-754.073
1,0,754.073
0,-.028,-327.7452
1,.028,327.7452
0,-.012,-93.28131
1,.012,93.28131
0,.004,-247.0695
1,-.004,247.0695
0,-.024,-234.4639
1,.024,234.4639
0,-.0025,-115.9714
1,.0025,115.9714
0,-.0025,-115.9713
1,.0025,115.9713
0,-.01,12.60558
1,.01,-12.60558
0,-.05,-749.6676
1,.05,749.6676
0,-.05,-474.0382
1,.05,474.0382
0,0,-603.1577
1,0,603.1577
0,-.025,-87.20996
1,.025,87.20996
0,0,-2338.715
1,0,2338.715
0,0,-2338.715
1,0,2338.715
0,0,-856.5359
1,0,856.5359
0,-.02,-23.59943
1,.02,23.59943
0,.005,-106.7566
1,-.005,106.7566
0,0,-1652.835
1,0,1652.835
0,-.05,-372.8628
1,.05,372.8628
0,0,-1145.086
1,0,1145.086
0,-.015,59.51364
1,.015,-59.51364
0,0,-869.5386
1,0,869.5386
0,-.02125,-277.7305
1,.02125,277.7305
0,-.025,-436.374
1,.025,436.374
0,-.01,-109.0935
1,.01,109.0935
0,-.0625,-741.7525
1,.0625,741.7525
0,0,-939.5532
1,0,939.5532
0,0,-479.6666
1,0,479.6666
0,-.02,-2095.118
1,.02,2095.118
0,0,-1848.743
1,0,1848.743
0,0,-1677.747
1,0,1677.747
0,-.04,22.30371
1,.04,-22.30371
0,0,-1556.719
1,0,1556.719
0,.125,-1665.708
1,-.125,1665.708
0,-.02,-2757.955
1,.02,2757.955
0,-.052,-66.35663
1,.052,66.35663
0,-.005,561.6107
1,.005,-561.6107
0,.005,-1130.941
1,-.005,1130.941
0,-.05,-9.89978
1,.05,9.89978
0,-.02,282.934
1,.02,-282.934
0,-.04,-244.821
1,.04,244.821
0,0,-190.4297
1,0,190.4297
0,.005,-144.6399
1,-.005,144.6399
0,-.04,-144.2682
1,.04,144.2682
0,-.0575,-919.4047
1,.0575,919.4047
0,0,-554.1364
1,0,554.1364
0,.02,-269.8614
1,-.02,269.8614
0,0,-705.427
1,0,705.427
0,0,-343.3618
1,0,343.3618
0,-.001,-58.8009
1,.001,58.8009
0,0,-193.3986
1,0,193.3986
0,.025,-671.7586
1,-.025,671.7586
0,0,-331.1823
1,0,331.1823
0,-.03,263.6047
1,.03,-263.6047
0,0,-199.019
1,0,199.019
0,.0175,-248.3706
1,-.0175,248.3706
