lntotalcashpad,royalty,numbids,advertisedacreage,totalcashpa_d
6.859138,.2,6,787.88,952.5457
6.024161,.24,6,787.88,413.2946
5.486122,.2,2,195,241.3196
5.058307,.1875,2,195,157.3239
5.775075,.2,3,97,322.1686
5.033614,.1875,3,97,153.4867
5.266654,.25,3,97,193.7664
5.486122,.2,2,160,241.3195
5.315026,.1875,2,160,203.3699
7.700842,.271,2,322,2210.209
6.866196,.225,2,322,959.2919
6.566495,.2125,2,270,710.8737
6.021364,.22,2,270,412.1402
5.970811,.22,2,284,391.8235
5.873348,.2125,2,284,355.4368
4.355355,.17,2,632.8,77.89451
1.344735,.1667,2,632.8,3.837168
7.700842,.271,2,43,2210.208
6.866196,.225,2,43,959.2919
7.042594,.26,2,421,1144.353
7.091384,.26,2,421,1201.57
7.091385,.26,2,482,1201.57
6.784385,.253,2,482,883.9362
7.199598,.25,2,203,1338.893
6.980719,.275,2,203,1075.692
5.953933,.2,3,137.9,385.2654
4.936125,.1667,3,137.9,139.2297
5.299626,.22,3,137.9,200.2619
5.892689,.1875,2,641,362.3784
4.392813,.2,2,641,80.8676
6.661546,.25,2,170.07,781.7582
5.943982,.25,2,170.07,381.4509
8.295358,.3,2,51,4005.235
7.725184,.25,2,51,2264.669
6.360574,.25,3,156,578.5785
4.859561,.1667,3,156,128.9676
6.22279,.215,3,156,504.108
6.360574,.25,2,276,578.5785
5.657476,.205,2,276,286.425
9.261161,.26,2,71,10521.34
7.243322,.4,2,71,1398.733
9.430391,.26,2,40,12461.4
7.713326,.35,2,40,2237.973
7.205379,.22,2,143,1346.656
7.063574,.22,2,143,1168.614
7.33395,.27,2,924,1531.419
6.485155,.23,2,924,655.3404
6.638306,.22,2,241,763.8
6.674975,.2,2,241,792.3279
6.237828,.213,2,100,511.746
5.982069,.21,2,100,396.2594
7.375057,.23,2,718,1595.682
6.969586,.24,2,718,1063.782
6.885166,.22,2,406,977.6639
6.69236,.21,2,406,806.2228
7.343875,.26,4,297.523,1546.695
6.765286,.27,4,297.523,867.2145
7.149122,.26,4,297.523,1272.987
7.220521,.28,4,297.523,1367.202
5.938133,.2,2,183,379.2261
5.571507,.1875,2,183,262.83
7.465049,.28,2,260,1745.942
6.63128,.25,2,260,758.4521
7.53762,.27,2,63,1877.357
7.186643,.25,2,63,1321.659
8.040662,.26,2,430,3104.668
7.386797,.25,2,430,1614.527
6.730189,.25,2,224.64,837.3058
6.643079,.24,2,224.64,767.4545
7.469341,.2923,2,556.12,1753.451
6.84954,.2667,2,556.12,943.4469
6.351817,.25,2,65,573.5341
5.547664,.195,2,65,256.6373
7.335144,.28,3,300,1533.248
7.415009,.24,3,300,1660.725
7.243815,.24,3,300,1399.423
6.365063,.1667,2,149,581.1812
5.723208,.2,2,149,305.8848
6.349067,.2,2,106,571.9586
2.8896,.125,2,106,17.98612
7.131445,.28,2,277,1250.683
7.100105,.255,2,277,1212.095
7.075004,.275,3,89,1182.048
7.334883,.25,3,89,1532.849
6.883609,.26,3,89,976.1426
7.39287,.26,2,58,1624.362
7.147564,.3,2,58,1271.006
8.246186,.25,2,658,3813.057
7.052263,.26,2,658,1155.471
7.331619,.3,2,60,1527.854
6.889723,.26,2,60,982.1291
6.048952,.22,3,1615,423.6688
5.601107,.25,3,1615,270.7259
5.992392,.22,3,1615,400.371
7.853144,.22,2,310,2573.813
7.332393,.28,2,310,1529.036
5.734238,.2,2,160,309.277
5.692187,.2,2,160,296.5414
7.853144,.22,2,99.4,2573.813
7.332393,.28,2,99.4,1529.036
8.409812,.21,2,42,4490.917
8.444733,.2,2,42,4650.511
6.85952,.23,3,42.935,952.9095
6.299903,.2,3,42.935,544.5193
5.606756,.1667,3,42.935,272.2597
6.768555,.3,2,56,870.0535
6.935763,.2575,2,56,1028.403
6.58453,.22,2,363.7,723.8105
5.241079,.19,2,363.7,188.8737
7.019396,.255,2,120,1118.111
6.607286,.225,2,120,740.4711
7.394754,.226,2,888,1627.425
7.240604,.271,2,888,1394.936
6.859831,.25,2,80,953.2064
5.424552,.1875,2,80,226.9096
6.723442,.25,2,300,831.6749
6.425765,.21,2,300,617.553
6.330604,.1875,2,84,561.4954
6.150466,.25,2,84,468.936
4.520677,.166667,3,249.5,91.89777
3.604386,.125,3,249.5,36.75911
4.011853,.125,3,249.5,55.24916
4.520677,.1667,2,640,91.89777
3.604386,.125,2,640,36.75911
5.647646,.1875,2,303,283.623
4.852716,.2,2,303,128.0878
6.834624,.34,2,444.72,929.4786
7.291329,.23,2,444.72,1467.521
7.988211,.2,5,40,2946.02
5.970197,.2,5,40,391.5828
6.341438,.2,5,40,567.6121
6.722318,.25,5,40,830.7411
7.389833,.3,5,40,1619.436
8.332946,.35,7,160.79,4158.65
6.378443,.2,7,160.79,589.0096
7.539258,.3,7,160.79,1880.433
6.049344,.26,7,160.79,423.8349
8.361031,.3,7,160.79,4277.1
5.915584,.2,7,160.79,370.7708
7.500037,.25,7,160.79,1808.109
5.74352,.18,2,315,312.1612
5.933799,.205,2,315,377.5862
5.931371,.1875,2,130,376.6706
5.784195,.2125,2,130,325.1203
5.931371,.1875,3,130,376.6706
5.390986,.2,3,130,219.4198
5.784195,.2125,3,130,325.1203
4.004692,.1875,3,83,54.85494
5.390986,.2,3,83,219.4198
5.782578,.2125,3,83,324.5949
5.901812,.1667,2,40,365.6996
7.033215,.25,2,40,1133.669
6.310946,.25,2,45,550.5657
7.26615,.2,2,45,1431.03
5.915431,.2,2,72,370.7142
6.310946,.25,2,72,550.5656
5.905481,.25,2,80,367.0438
5.925676,.25,2,80,374.5315
7.287959,.25,2,910.2,1462.582
7.190897,.26,2,910.2,1327.293
7.065858,.255,2,50,1171.286
5.998017,.305,2,50,402.6297
6.846843,.2575,2,632,940.9055
6.698656,.205,2,632,811.3143
7.167807,.23,2,177,1296.997
6.328529,.2,2,177,560.3317
7.289328,.23,2,104,1464.586
6.328529,.2,2,104,560.3317
7.026701,.255,2,44,1126.309
6.737947,.25,2,44,843.826
5.950873,.25,2,145.17,384.0887
3.590019,.275,2,145.17,36.23478
6.624972,.2,2,846.54,753.6833
6.391179,.23,2,846.54,596.5593
7.006866,.22,2,40,1104.189
6.333921,.2175,2,40,563.3615
7.015806,.25,2,150,1114.104
6.187739,.21,2,150,486.7444
4.224005,.3,2,319.21,68.30647
3.657951,.305,2,319.21,38.78178
7.401424,.226,2,915,1638.316
7.256242,.271,2,915,1416.922
7.512821,.28,2,99,1831.372
6.96856,.25,2,99,1062.692
5.623856,.19,2,466,276.9552
5.27448,.25,2,466,195.2889
6.162617,.1875,2,763,474.6686
5.89212,.2,2,763,362.1722
6.187128,.22,2,42,486.447
5.872317,.2,2,42,355.0708
6.113648,.2,2,116,451.9848
6.089932,.166667,2,116,441.3914
6.62301,.1875,2,150.2,752.206
4.479655,.166667,2,150.2,88.20427
7.303412,.26,2,821,1485.36
7.118713,.255,2,821,1234.86
7.662697,.25,2,62,2127.487
6.794169,.215,2,62,892.6271
6.696647,.21,2,43.6,809.6862
6.996167,.2,2,43.6,1092.438
7.306301,.2565,2,408.6,1489.656
7.117619,.25,2,408.6,1233.51
7.219892,.2565,2,408.6,1366.341
7.117619,.25,2,408.6,1233.51
5.644957,.2,3,320,282.8613
5.471813,.25,3,320,237.8911
5.229977,.1875,3,320,186.7886
4.470346,.425,2,48.06,87.38699
5.163077,.1875,2,48.06,174.7013
6.597784,.275,2,97,733.4675
6.599638,.25,2,97,734.8288
7.820673,.31,2,140,2491.582
6.555941,.23,2,140,703.4109
7.561887,.255,2,820,1923.471
7.473918,.2601,2,820,1761.495
7.300247,.2773,2,422.72,1480.666
6.286691,.231,2,422.72,537.372
7.480888,.2885,2,528.37,1773.816
7.046877,.241,2,528.37,1149.264
7.107868,.26,4,120,1221.54
6.579714,.2551,4,120,720.3334
5.544823,.1875,4,120,255.9093
6.540541,.26,4,120,692.6611
6.951214,.23,2,62,1044.417
6.540541,.25,2,62,692.6611
6.99506,.25,2,63,1091.23
7.210831,.21,2,63,1354.017
6.588627,.25,2,1100,726.7823
6.756764,.22,2,1100,859.8552
7.085268,.3,4,74.835,1194.244
6.750998,.21,4,74.835,854.9117
6.579194,.3,4,74.835,719.9586
6.873347,.26,4,74.835,966.1771
7.147568,.2677,2,671.87,1271.01
6.857649,.225,2,671.87,951.1282
7.221866,.265,2,65,1369.041
6.622905,.25,2,65,752.1272
6.085513,.24,2,160.4,439.4451
6.030163,.2,2,160.4,415.7827
7.081974,.2511,4,175,1190.316
6.532487,.225,4,175,687.1049
7.077214,.25,4,175,1184.664
6.930568,.26,4,175,1023.075
7.180286,.22,2,627.49,1313.284
6.854071,.26,2,627.49,947.7308
7.278404,.22,2,728.38,1448.674
7.105385,.26,2,728.38,1218.511
7.409596,.22,2,765.23,1651.76
6.962284,.26,2,765.23,1056.043
7.213243,.25,2,66,1357.286
6.955853,.255,2,66,1049.273
7.361318,.225,2,56,1573.91
7.218217,.25,2,56,1364.055
5.194877,.1875,2,60,180.3459
5.166167,.1875,2,60,175.2418
6.378463,.25,2,40,589.0219
5.818848,.21,2,40,336.5839
8.313704,.275,2,72,4079.397
7.261049,.25,2,72,1423.75
6.21623,.26,2,628.42,500.8118
6.038855,.2222,2,628.42,419.4124
6.908978,.2,2,260,1001.223
6.503512,.2,2,260,667.482
5.675864,.25,2,48.06,291.7403
5.121634,.25,2,48.06,167.6091
5.121634,.2,2,68,167.6091
4.205344,.1875,2,68,67.04366
7.084542,.251,2,700,1193.377
6.356524,.2275,2,700,576.2402
7.440487,.1667,2,40,1703.579
6.937535,.255,2,40,1030.228
5.145776,.25,2,90,171.7046
5.184242,.1667,2,90,178.4382
6.330484,.265,2,122.19,561.4286
6.316579,.252,2,122.19,553.6755
7.210408,.255,2,75,1353.444
6.635866,.255,2,75,761.9388
4.476089,.1875,2,124,87.89031
4.202253,.125,2,124,66.83674
6.726599,.23,2,80.36,834.3052
6.215774,.25,2,80.36,500.5832
6.726599,.23,2,107,834.3052
6.215774,.25,2,107,500.5831
6.750213,.225,2,69,854.241
6.03659,.2,2,69,418.4636
6.938406,.25,2,40,1031.125
6.829892,.23,2,40,925.0909
6.927321,.202,3,573,1019.759
6.621009,.225,3,573,750.7021
6.224354,.25,3,573,504.897
7.618839,.265,2,53.36,2036.196
7.252563,.2625,2,53.36,1411.719
6.514095,.23,3,239.88,674.5833
6.341185,.25,3,239.88,567.4685
5.515763,.2,3,239.88,248.5796
5.605361,.2027,3,250,271.8801
4.423388,.166667,3,250,83.37834
3.912563,.1875,3,250,50.02701
5.827161,.25,4,61,339.3938
5.814792,.2,4,61,335.2217
6.025612,.1875,4,61,413.8949
5.851259,.2,4,61,347.6717
5.906093,.17,3,95,367.2685
5.69416,.19,3,95,297.1269
5.410216,.21,3,95,223.6798
7.045743,.25,2,145,1147.962
6.60391,.22,2,145,737.9755
6.905982,.2,2,115,998.2277
6.808211,.25,2,115,905.2499
6.591478,.22,2,250,728.8574
6.198445,.215,2,250,491.9836
5.809374,.2,2,78,333.4102
5.501889,.25,2,78,245.1546
6.279659,.2,2,610,533.6069
5.092341,.166667,2,610,162.7705
5.087908,.166667,2,161,162.0505
4.731233,.166667,2,161,113.4354
5.568726,.215,2,68,262.1
5.511806,.19,2,68,247.5979
4.812198,.26,2,118,123.0017
4.569198,.25,2,118,96.46671
7.134147,.255,3,45,1254.067
6.178636,.225,3,45,482.3335
6.75097,.225,3,45,854.888
6.876055,.21875,2,76,968.7969
6.876055,.2,2,76,968.7969
6.956098,.275,2,62,1049.53
7.317873,.263,2,62,1506.996
6.498719,.2,2,190,664.2903
6.181479,.25,2,190,483.7065
5.771826,.2,2,110,321.1236
5.100291,.166667,2,110,164.0697
7.225691,.22,3,796,1374.288
6.877702,.226,3,796,970.3937
6.943459,.23,3,796,1036.348
6.838788,.23,2,549.92,933.357
6.698298,.22,2,549.92,811.0239
7.650003,.21,3,354,2100.651
6.179061,.21,3,354,482.5386
5.868906,.2,3,354,353.8616
6.136721,.265,3,60.57,462.5344
5.826161,.2,3,60.57,339.0544
5.939652,.1875,3,60.57,379.8028
6.178151,.24,2,252,482.0997
6.291664,.22,2,252,540.0513
5.724091,.26,2,40,306.1548
5.724091,.25,2,40,306.1548
7.347939,.2,3,79,1552.993
6.46135,.25,3,79,639.9243
6.413965,.2,3,79,610.309
6.827666,.25,2,203,923.0343
6.715897,.25,2,203,825.4241
6.827666,.25,2,291,923.0342
6.715898,.25,2,291,825.4241
7.119549,.2576,2,384.29,1235.893
5.936629,.265,2,384.29,378.6565
6.509283,.205,2,76,671.3445
6.396487,.205,2,76,599.7344
7.026904,.225,2,49,1126.537
6.655608,.225,2,49,777.1302
5.949437,.23,2,1346,383.5372
5.890013,.2,2,1346,361.4101
6.47553,.23,2,927,649.063
6.417034,.22,2,927,612.1844
6.380219,.2,2,698.5,590.0573
5.990874,.21,2,698.5,399.7638
5.899077,.25,2,40,364.7006
5.738803,.21,2,40,310.6924
4.9978,.17,2,200,148.087
4.28485,.166667,2,200,72.59167
6.369279,.25,2,130,583.6371
6.083254,.2,2,130,438.4537
6.636755,.25,2,510,762.6167
6.208168,.232,2,510,496.7903
6.791551,.24,2,478,890.2935
6.179954,.22,2,478,482.9696
6.358529,.25,2,80,577.3964
6.236362,.25,2,80,510.9958
7.165135,.25,2,41.57,1293.536
6.676289,.225,2,41.57,793.369
6.820652,.24,2,72,916.5828
6.618072,.255,2,72,748.5002
6.36931,.22,2,626,583.6553
5.842091,.23,2,626,344.499
7.785561,.25,2,59,2405.614
7.623455,.25,2,59,2045.617
6.94945,.235,2,250,1042.576
6.710987,.25,2,250,821.3809
4.943438,.1875,2,750,140.2516
4.432612,.2,2,750,84.15097
4.943438,.1875,2,288,140.2516
4.432612,.2,2,288,84.15097
5.859729,.2,2,80,350.629
5.381693,.2,2,80,217.39
4.943438,.1875,2,320,140.2516
4.432612,.2,2,320,84.15097
7.026641,.23,2,48,1126.242
6.737187,.25,2,48,843.1855
7.321206,.2775,2,53.36,1512.026
6.419279,.2051,2,53.36,613.5607
6.731708,.229,2,84.25,838.5781
5.619981,.2,2,84.25,275.8841
6.536271,.23,2,80.53,689.71
6.308165,.23,2,80.53,549.0366
6.311438,.25,2,173,550.8362
5.099993,.22,2,173,164.0207
6.47508,.225,2,780,648.7715
6.110856,.22,2,780,450.7243
6.866488,.238,2,624,959.5727
6.764967,.25,2,624,866.938
5.994167,.225,2,120,401.0824
5.715219,.25,2,120,303.4505
7.13572,.25,2,329,1256.041
7.103133,.25,2,329,1215.77
6.968634,.238,3,717,1062.77
5.716905,.2175,3,717,303.9626
6.908465,.238,3,717,1000.71
6.660447,.166667,2,69,780.8995
5.43535,.205,2,69,229.3731
6.472167,.25,3,82,646.8837
6.660447,.166667,3,82,780.8995
5.551884,.205,3,82,257.7226
6.064707,.225,3,149,430.3967
5.551884,.205,3,149,257.7226
6.122863,.166667,3,149,456.169
6.099879,.166667,2,40.93,445.804
5.412366,.205,2,40.93,224.1614
6.122863,.166667,2,80,456.169
5.43535,.205,2,80,229.3731
6.122863,.166667,2,42.42,456.169
5.43535,.205,2,42.42,229.3731
6.472167,.25,3,60,646.8838
6.663741,.166667,3,60,783.4767
5.551884,.205,3,60,257.7226
6.667026,.166667,2,44,786.054
5.43535,.205,2,44,229.3731
6.660447,.166667,2,80,780.8995
5.43535,.205,2,80,229.3731
6.679862,.166667,2,41.14,796.2087
5.43535,.205,2,41.14,229.3731
5.970594,.166667,2,57,391.7383
5.43535,.205,2,57,229.3731
5.970594,.166667,2,63,391.7383
5.43535,.205,2,63,229.3731
5.970594,.166667,2,91,391.7383
5.43535,.205,2,91,229.3731
6.122863,.166667,2,205.88,456.169
5.43535,.205,2,205.88,229.3731
6.122863,.166667,2,80,456.169
5.43535,.205,2,80,229.3731
6.673562,.166667,2,247,791.2084
5.43535,.205,2,247,229.3731
6.122863,.166667,2,50.5,456.169
5.43535,.205,2,50.5,229.3731
5.970594,.166667,2,40,391.7384
5.43535,.205,2,40,229.3731
8.052034,.25,2,80,3140.176
7.417494,.25,2,80,1664.857
7.551218,.25,2,80,1903.06
7.250441,.25,2,80,1408.725
7.551218,.25,2,40,1903.06
7.250441,.25,2,40,1408.725
8.071421,.25,2,80,3201.648
7.657117,.25,2,80,2115.649
8.148382,.25,2,50,3457.78
6.368471,.25,2,50,583.1656
5.988649,.25,2,119,398.8756
5.553914,.205,2,119,258.2464
6.097623,.25,2,169.73,444.7991
3.92856,.166667,2,169.73,50.83376
6.716653,.25,2,83.12,826.0485
5.250317,.2,2,83.12,190.6266
6.43991,.25,2,216,626.3504
6.113926,.21,2,216,452.1101
8.133463,.2,2,2169.02,3406.575
6.372475,.2,2,2169.02,585.5051
6.64257,.225,2,943,767.0633
6.570497,.225,2,943,713.7245
6.788912,.22,4,700,887.9471
6.464131,.225,4,700,641.7067
6.680149,.2,4,700,796.4378
6.360324,.23,4,700,578.4341
6.44989,.265,2,116,632.6324
6.344529,.225,2,116,569.3691
7.164071,.25,2,44,1292.161
6.649972,.25,2,44,772.7628
7.164071,.25,2,42,1292.161
6.649972,.25,2,42,772.7628
7.164071,.25,2,42,1292.161
6.921125,.25,2,42,1013.459
7.164071,.25,2,67,1292.161
6.649972,.25,2,67,772.7628
7.164071,.25,2,156,1292.161
6.649972,.25,2,156,772.7628
6.035606,.21,3,380,418.052
5.940296,.203,3,380,380.0472
5.611792,.2,3,380,273.634
6.035606,.21,3,60,418.052
5.940296,.203,3,60,380.0473
5.611792,.2,3,60,273.634
6.035606,.21,2,125,418.052
5.940296,.203,2,125,380.0473
6.971198,.25,2,117,1065.498
6.700006,.25,2,117,812.4109
7.416393,.251,3,1000,1663.024
6.22247,.265,3,1000,503.9466
6.627935,.25,3,1000,755.9199
7.748527,.251,4,650,2318.155
6.22247,.265,4,650,503.9466
7.361905,.25,4,650,1574.833
6.627935,.25,4,650,755.9199
7.416393,.251,4,800,1663.024
6.22247,.265,4,800,503.9466
6.467571,.25,4,800,643.9178
6.627935,.25,4,800,755.9199
6.63458,.23,3,583.56,760.9594
6.149899,.21,3,583.56,468.6703
5.719944,.21,3,583.56,304.8877
6.110474,.225,2,40,450.5523
5.550018,.25,2,40,257.2423
5.948926,.25,2,140,383.3415
5.540166,.25,2,140,254.7203
6.341146,.25,2,108,567.4462
5.540166,.25,2,108,254.7203
6.341146,.25,2,128,567.4462
5.540166,.25,2,128,254.7203
6.711943,.25,2,40,822.1666
6.536347,.225,2,40,689.7625
6.711943,.25,2,40,822.1666
5.915617,.225,2,40,370.7831
6.711943,.25,2,40,822.1666
6.536347,.225,2,40,689.7625
6.632156,.25,3,40,759.117
6.450499,.25,3,40,633.0178
6.536347,.225,3,40,689.7625
6.632156,.25,3,40,759.117
6.450499,.25,3,40,633.0178
6.536347,.225,3,40,689.7625
6.632156,.25,3,63,759.117
6.450499,.25,3,63,633.0178
6.110475,.225,3,63,450.5525
8.095165,.25,2,123.5,3278.578
7.99577,.25,2,123.5,2968.375
7.141652,.25,3,40,1263.514
6.923982,.255,3,40,1016.359
6.233314,.25,3,40,509.4406
6.667705,.24,3,40,786.5885
6.128709,.212,3,40,458.8433
6.541473,.228,3,40,693.3072
6.851628,.236,3,775,945.4189
6.548719,.24,3,775,698.3494
6.566609,.212,3,775,710.955
6.322865,.2225,2,103.84,557.1669
6.089488,.22,2,103.84,441.1955
6.322865,.2225,2,239.21,557.1669
6.089488,.22,2,239.21,441.1955
4.932035,.21,2,120,138.6614
5.019047,.2,2,120,151.267
6.743209,.25,3,115.37,848.2788
4.591185,.2,3,115.37,98.61124
5.924899,.2,3,115.37,374.2406
7.489358,.25,2,48.649,1788.903
7.078126,.25,2,48.649,1185.745
6.473651,.25,2,85,647.845
6.32907,.225,2,85,560.6351
8.001094,.25,2,46,2984.22
6.470034,.25,2,46,645.5053
8.001094,.25,2,40,2984.22
6.470033,.25,2,40,645.5052
7.31458,.25,2,40,1502.041
6.470033,.25,2,40,645.5052
6.772983,.25,2,67,873.9149
6.745607,.23,2,67,850.3154
6.312029,.215,2,278.93,551.1622
6.096738,.22,2,278.93,444.4056
7.658162,.25,2,40,2117.861
6.142093,.25,2,40,465.0259
6.208892,.25,2,51,497.1504
4.822598,.2,2,51,124.2876
7.557822,.23,2,159,1915.669
6.647148,.23,2,159,770.5831
6.084302,.22,2,857.32,438.9135
6.211457,.205,2,857.32,498.4271
7.681768,.25,2,47,2168.451
7.169282,.25,2,47,1298.912
6.988086,.25125,2,355,1083.645
6.691978,.23,2,355,805.9145
7.461949,.25,2,197.58,1740.538
7.173317,.225,2,197.58,1304.164
6.211321,.235,2,483,498.3591
5.964262,.225,2,483,389.2656
6.935918,.25,2,290,1028.563
5.658823,.1875,2,290,286.811
7.119842,.22,2,73,1236.254
5.692725,.22,2,73,296.701
7.016701,.25,2,1325,1115.101
6.454309,.25,2,1325,635.4347
7.817289,.25,5,42,2483.165
5.961124,.23,5,42,388.0461
6.452713,.25,5,42,634.4213
6.691361,.25,5,42,805.4176
7.826231,.21,5,42,2505.468
7.890349,.25,3,40,2671.376
7.016302,.25,3,40,1114.656
6.913407,.375,3,40,1005.668
8.476682,.25,2,62,4801.492
7.622437,.23,2,62,2043.537
5.929092,.252,2,67,375.8133
5.734818,.2,2,67,309.4566
5.959097,.255,2,92,387.2603
6.855273,.25,2,92,948.8709
7.620783,.255,2,256,2040.16
6.812586,.26,2,256,909.2189
6.78115,.25,2,40,881.0818
6.769851,.2,2,40,871.1821
6.612068,.25,2,640,744.0201
6.934352,.23,2,640,1026.954
6.213675,.25,2,80,499.5338
5.540136,.21,2,80,254.7128
5.749665,.2,2,80,314.0853
4.817501,.2,2,80,123.6556
7.129156,.25,2,49.59,1247.823
7.005955,.255,2,49.59,1103.183
5.509258,.205,2,145,246.9677
5.969311,.245,2,145,391.236
7.110743,.245,2,500,1225.058
5.722451,.1875,2,500,305.6531
6.591848,.25,2,48,729.1268
7.157162,.25,2,48,1283.263
7.076318,.23,2,290,1183.602
6.817547,.25,2,290,913.741
7.090221,.25,2,80,1200.173
6.204044,.25,2,80,494.7458
6.975733,.25,2,40,1070.342
6.588899,.25,2,40,726.9799
6.713214,.25,2,158,823.2125
6.782207,.251,2,158,882.0134
5.064083,.25,2,160,158.2352
5.86259,.25,2,160,351.6338
6.56764,.275,2,107.012,711.6884
7.232334,.25,2,107.012,1383.447
5.989707,.25,2,106.811,399.2978
6.593702,.25,2,106.811,730.4801
6.458071,.25,2,66,637.8293
6.803987,.22,2,66,901.434
6.265185,.23,2,246,525.9387
6.586113,.23,2,246,724.9577
7.253911,.2025,2,94,1413.623
7.060693,.22,2,94,1165.253
